,通知内容,通知部门,通知时间
6060,关于印发《吉林大学本科学生公寓卫生安全检查实施办法（试行）》的通知,学生工作部,2020-09-29
6061,关于公示2021年推荐退役复学本科毕业生免试攻读硕士研究生评审结果的通知,学生工作部,2020-09-29
6062,关于公示吉林大学2021年“2+3”专职辅导员拟聘人员名单的通知,学生工作部,2020-09-29
6063,关于公布“基础学科拔尖学生培养计划“2020级生源选拔面试名单的通知,教务处,2020-09-28
6064,关于“亚洲校园”计划2021年春季学期日本冈山大学交换留学项目候选名单的公示,国际合作与交流处（港澳台办公室）,2020-09-28
6065,关于公示2021年白求恩医学部创新人才免试硕士研究生评审结果的通知,白求恩医学部,2020-09-28
6066,关于开展2020年选聘优秀研究生担任本科生兼职辅导员工作的通知,学生工作部,2020-09-28
6067,关于公布吉林大学第二十三届研究生支教团考核排名的通知,团委,2020-09-28
6068,关于收回国家自然科学基金结题项目结余资金的预通知,科学技术处,2020-09-28
6069,关于征集“十四五”国家科技创新规划重大问题研究任务的通知,科学技术处,2020-09-28
6070,关于公示2021年人文学部、社会科学学部、理学部、信息科学学部创新人才推免生评审结果的通知,教务处,2020-09-28
6071,关于征集对国家重点研发计划“综合交通运输与智能交通”“制造基础技术与关键部件”“网络协同制造和智能工...,科学技术处,2020-09-28
6072,关于对学校挂职、借调人员进行统计备案的通知,党委组织部,2020-09-28
6073,关于印发《吉林大学干部教师挂职管理办法》的通知,党委组织部,2020-09-28
6074,关于进一步核实教育部科技管理信息系统专家库专家信息的通知,科学技术处,2020-09-28
6075,转发《国家自然科学基金委员会政策局2020年专项项目“科研项目评审专家信誉管理机制研究”申请指南》的通知,科学技术处,2020-09-28
6076,关于王有维免职的通知,党委组织部,2020-09-28
6077,关于组织“基础学科拔尖学生培养计划”2.0项目申报工作的通知,教务处,2020-09-28
6078,关于公布2019年度“学生工作先进个人”获奖名单的通知,学生工作部,2020-09-28
6079,关于组织2020级新生开展“共抗疫情、爱国力行”主题教育活动之同上一堂战“疫”思政大课的通知,学生工作部,2020-09-28
6080,关于国庆节期间浴池营业时间安排的通知,后勤服务集团,2020-09-28
6081,关于印发《吉林大学辅导员骨干在职攻读博士学位专项计划推荐工作实施办法（试行）》的通知,人力资源和社会保障处,2020-09-28
6082,关于网上直播吉林大学2019年度十佳大学生、十佳班级、 自强自立大学生表彰大会的通知,学生工作部,2020-09-28
6083,关于进一步严明2020年中秋、国庆期间纪律要求的通知,纪委办公室,2020-09-28
6084,关于开展“吉林大学第四届党风廉政建设工作论坛”征文的通知,纪委办公室,2020-09-28
6085,关于做好2020年国庆中秋假期有关工作的通知,党委办公室,2020-09-28
6086,关于召开吉林大学2019年度十佳大学生、十佳班级、自强自立大学生表彰大会的通知,学生工作部,2020-09-27
6087,关于公布2020-2021学年研究生“助教”“助管”岗位设置计划及申报“三助”岗位的通知,研究生院,2020-09-27
6088,关于组织填报“高等教育质量监测国家数据平台” 2020年部分监测数据的通知,教务处,2020-09-27
6089,关于各学部2021年“创新人才”推免生答辩的通知,教务处,2020-09-27
6090,关于公布吉林大学2021年创新人才推免研究生名额的通知,教务处,2020-09-27
6091,关于线上开展“探索职业生涯，我的青春我做主”主题职业生涯规划大赛通知,学生就业创业指导与服务中心,2020-09-27
6092,关于公布《院级心理辅导室专业化发展支持计划》的通知,学生心理健康指导中心,2020-09-27
6093,关于仪器科学与电气工程学院拟聘正科级干部人选的公示,仪器科学与电气工程学院,2020-09-27
6094,关于开展2020年度教育部外派储备干部推荐工作的通知,党委组织部,2020-09-27
6095,关于推荐科技部人事司2020年驻外后备干部选拔考试人选的通知,党委组织部,2020-09-27
6096,关于加强研究生“十一”期间管理的通知,研究生院,2020-09-27
6097,关于部分校区停水的通知,资产管理与后勤处,2020-09-27
6098,关于公示2018年度、2019年度吉林大学党费收支情况的通知,党委组织部,2020-09-27
6099,2020年度宝钢优秀学生奖获奖研究生公示,研究生院,2020-09-27
6100,关于图书馆2020年国庆节、中秋节开馆时间的通知,图书馆,2020-09-27
6101,关于对吉林大学2020年实验技术成果奖评审结果进行公示的通知,实验室与设备管理处,2020-09-27
6102,关于开展专业学位研究生精品课程项目建设的通知,研究生院,2020-09-27
6103,关于SSL-VPN和IPSEC-VPN恢复运行的通知,大数据和网络管理中心,2020-09-27
6104,关于领取《吉林大学招生质量报告（2020年）》的通知,招生办公室,2020-09-27
6105,关于开展吉林大学“星火燎原 领航青春”新生入党积极分子培养项目(第二期)学员遴选工作的通知,学生工作部,2020-09-27
6106,预科教育学院拟聘正科级干部人选的公示,应用技术学院,2020-09-27
6107,转发《2020年度国家自然科学基金委员会与俄罗斯基础研究基金会合作研究项目指南》的通知,科学技术处,2020-09-27
6108,关于报送2020年吉林省优秀硕士学位论文评选材料的通知,研究生院,2020-09-25
6109,关于报送2020年吉林省优秀博士学位论文评选材料的通知,研究生院,2020-09-25
6110,关于对申报吉林大学第二十三届研究生支教团成员进行综合能力考核的通知,团委,2020-09-25
6111,关于仪器设备拟报废处置的公告,实验室与设备管理处,2020-09-25
6112,关于中秋节、国庆节开餐安排的通知,后勤服务集团,2020-09-25
6113,关于征集国家重点研发计划“主要经济作物优质高产与产业提质增效科技创新”重点专项2021年度项目申报指...,科学技术处,2020-09-25
6114,关于公布2020-2021学年度第一学期研究生外语分级考试疫情防控工作要求的通知,研究生院,2020-09-25
6115,关于2020年下半年全国大学外语四、六级考试笔试及口试报名工作的通知,考试中心,2020-09-25
6116,关于公示2020年度“解放领航奖学金”拟获奖本科生名单的通知,学生工作部,2020-09-25
6117,关于公示2020年度“石药集团成长助推基金”拟受助本科生名单的通知,学生工作部,2020-09-25
6118,关于组织申报国家重点研发计划“主动健康和老龄化科技应对” 重点专项2021年度项目的通知,科学技术处,2020-09-25
6119,关于组织申报国家重点研发计划“绿色生物制造”重点专项2020年度项目的通知,科学技术处,2020-09-25
6120,关于征集国家重点研发计划“绿色宜居村镇技术创新”重点专项2020年度第二批项目申报指南意见的通知,科学技术处,2020-09-25
6121,关于对2019∕2020学年贵重仪器设备进行效益考核的通知,实验室与设备管理处,2020-09-25
6122,关于开展《国务院办公厅关于加快医学教育创新发展的指导意见》学习研讨工作的通知,白求恩医学部,2020-09-25
6123,关于中心校区基础园区停水的通知,基建处,2020-09-25
6124,公共外语教育学院关于面向校内公开招聘科级干部的通知,公共外语教育学院,2020-09-25
6125,关于进一步规范实验材料信息库管理工作的通知,实验室与设备管理处,2020-09-25
6126,关于开展吉林大学2021年“2+3”专职辅导员考核选拔工作的通知,学生工作部,2020-09-24
6127,关于加强“十一”期间学生管理工作的通知,学生工作部,2020-09-24
6128,关于开展2021－2022年度瑞士互换奖学金项目选拔工作的通知,人力资源和社会保障处,2020-09-24
6129,关于“基础学科拔尖学生培养计划”2020级学生选拔笔试的通知,教务处,2020-09-24
6130,关于做好2020级本科新生注册信息确认及上报工作的通知,教务处,2020-09-24
6131,关于先进技术研究院恢复办公的通知,先进技术研究院,2020-09-24
6132,关于领取吉林大学2020届9月份毕业毕业生《就业报到证》的通知,学生就业创业指导与服务中心,2020-09-24
6133,关于举办南岭校区博学讲堂——“夯实工科基础•绘制梦想蓝图”大学生工科思维培养讲座暨先进成图技术大赛观...,东区综合办公室,2020-09-24
6134,关于对申报吉林大学第二十三届研究生支教团人员进行教学考核的通知,团委,2020-09-24
6135,转发国家自然科学基金委员会2020年度部分重大研究计划项目指南的通知,科学技术处,2020-09-24
6136,转发国家自然科学基金委员会《关于征集2021年度信息科学领域重大项目立项建议的通知》,科学技术处,2020-09-24
6137,关于白求恩医学部2019-2020学年班主任工作考核结果的通知,白求恩医学部,2020-09-24
6138,关于开展2018年研究生思想政治教育工作研究课题结项工作的通知,研究生院,2020-09-24
6139,关于调整2020年第四次“院长工作例会”召开时间的通知,校长办公室,2020-09-24
6140,关于李忠军同志任职的公示,党委组织部,2020-09-23
6141,关于对于生宗进行考察的预告,党委组织部,2020-09-23
6142,关于在本科学生中评选2020年度“奇安信奖学金”的通知,学生工作部,2020-09-23
6143,关于在2020级本科学生中评选“顶新康师傅明日朝阳奖学金”的通知,学生工作部,2020-09-23
6144,关于2020年秋季学期学生心理健康状况排查工作完成情况的通报,学生心理健康指导中心,2020-09-23
6145,关于公开选拔吉林大学研究生学生组织主要负责人的通知,研究生院,2020-09-23
6146,关于启动吉林大学交叉学科科研团队资助计划项目的通知,研究生院,2020-09-23
6147,关于报送研究生跨学科授课课程信息的通知,研究生院,2020-09-23
6148,2020年地球科学学院公开招聘教师拟聘人选公示,地球科学学院,2020-09-23
6149,关于申报中国高校产学研创新基金2020年第一批课题的通知,科学技术处,2020-09-23
6150,2020年商学院公开招聘教师拟聘人选公示,商学院,2020-09-23
6151,关于开展2019-2020学年奖学金、优秀学生和优秀学生干部评选工作的通知,学生工作部,2020-09-23
6152,关于拨付优秀青年教师培养计划培养经费的通知,人力资源和社会保障处,2020-09-23
6153,关于开展2020-2021学年研究生国家助学金发放工作的通知,研究生院,2020-09-23
6154,关于为学校教学、科研实验室配备专用化学药品柜及气瓶柜的通知,实验室与设备管理处,2020-09-23
6155,关于白求恩医学部2020年口腔医院拟聘卫生技术各系列人员公示的通知,白求恩医学部,2020-09-23
6156,关于召开2020年第四次“院长工作例会”的通知,校长办公室,2020-09-23
6157,关于印发《吉林大学2021年接收推荐免试攻读研究生复试录取工作办法》的通知,招生办公室,2020-09-23
6158,关于开展青年文化书院“学‘四史’、守初心、担使命”系列讲座（三）的通知,团委,2020-09-23
6159,关于征集香山科学会议“变革性技术关键科学问题前沿和热点”学术讨论会建议报告的通知,科学技术处,2020-09-23
6160,关于举办“喜迎国庆，助力全面建成小康社会”书画作品网络展的通知,离退休工作处,2020-09-23
6161,关于面向2020级学生开展“新生入学心理健康指导课”教学及组织工作的通知,学生心理健康指导中心,2020-09-22
6162,关于评定2020-2021学年度“奇安信奖学金”（研究生）的通知,研究生院,2020-09-22
6163,关于举办直采平台使用线上培训会的通知,招标与采购管理中心,2020-09-22
6164,关于在优秀学生干部中选聘新生辅导员助理的通知,学生工作部,2020-09-22
6165,关于公示2021年国家留学基金管理委员会 Mitacs项目拟推荐人员名单的通知,教务处,2020-09-22
6166,关于《大学生心理健康》慕课开课的通知,学生心理健康指导中心,2020-09-22
6167,关于举办研究生学术交流会议暨2020年宝钢奖学金评审答辩会的通知,研究生院,2020-09-22
6168,关于开展2020-2021学年第一学期学生朋辈心理辅导员培训的通知,学生心理健康指导中心,2020-09-22
6169,关于2020年下半年全国外语水平考试（WSK）预报名的通知,考试中心,2020-09-22
6170,关于评选2020年吉林大学“李四光地学奖学金”、“富德奖学金”和“李四光地学优秀青年教师奖”的补充通知,北区综合办公室,2020-09-22
6171,关于评选2020年吉林大学“李四光地学优秀青年教师奖” 的通知,校友联络和教育基金管理处,2020-09-22
6172,关于评选2020年吉林大学“李四光地学奖学金”和“富德奖学金”的通知,校友联络和教育基金管理处,2020-09-22
6173,关于2019年中小学（幼儿园）教师系列高级职务拟聘人选公示的通知,人力资源和社会保障处,2020-09-22
6174,关于公示2020年度宝钢优秀学生奖拟获奖本科生名单的通知,学生工作部,2020-09-22
6175,关于公示2020年度“高凯奖学金”拟获奖本科生名单的通知,学生工作部,2020-09-22
6176,关于公示2020年度“福建校友助学金”拟受助本科生名单的通知,学生工作部,2020-09-22
6177,关于对2021年度研究生招生资格审查填报材料进行公示的通知,研究生院,2020-09-22
6178,关于吉林大学2020年新生入学奖学金获得者办理重新选择专业手续的通知,招生办公室,2020-09-22
6179,关于开展2019年度校本应用专题研究项目结项工作的通知,发展规划处,2020-09-22
6180,关于发放2020级本科生(预科生) 交通银行“太平洋学子卡”的通知,财务处,2020-09-22
6181,关于开展2017年优秀青年教师培养计划入选人员考核的通知,人力资源和社会保障处,2020-09-22
6182,关于开展2020年家庭经济困难研究生认定工作的通知,研究生院,2020-09-22
6183,关于计算机软件著作权登记业务审批程序变更的通知,资产管理与后勤处,2020-09-22
6184,关于教育技术中心2020年招聘管理人员拟聘人选的公示,教务处,2020-09-22
6185,关于组织2020年第一批次中小学教师资格认定工作的通知,学生就业创业指导与服务中心,2020-09-22
6186,关于公布吉林大学网络实验建设项目结题名单的通知,教务处,2020-09-21
6187,关于发放2020年6月份本科生兼职辅导员工作补贴的通知,学生工作部,2020-09-21
6188,关于开展党史、新中国史、改革开放史、社会主义发展史及新冠肺炎疫情防控知识学习教育活动的通知,学生工作部,2020-09-21
6189,关于2021届毕业研究生申请求职创业补贴的通知,研究生院,2020-09-21
6190,关于办理2020年新入学研究生生源地贷款回执的通知,研究生院,2020-09-21
6191,关于做好2020年研究生新生科学道德和学风教育工作的通知,研究生院,2020-09-21
6192,关于南岭校区开展消防设施检测的通知,后勤服务集团,2020-09-21
6193,关于发放博士、硕士毕业证书及学位证书的通知,研究生院,2020-09-21
6194,关于领取2020年吉林省高校教师岗前培训考试准考证的通知,人力资源和社会保障处,2020-09-21
6195,关于2019年度吉林大学本科学生学科竞赛奖励名单的公示（第一批）,教务处,2020-09-21
6196,关于做好2020级研究生学籍电子注册信息核对及注册工作的通知,研究生院,2020-09-21
6197,关于做好2020级本科学生经济关注对象认定工作的通知,学生工作部,2020-09-21
6198,财务处（经费监管办公室）正科级干部拟聘人选公示,财务处,2020-09-21
6199,关于2020年中秋节、国庆节期间及本学期末教学安排调整的通知,教务处,2020-09-21
6200,关于组建吉林大学第二十三届研究生支教团的通知,团委,2020-09-21
6201,关于聘任牛泽等为八级职员的通知,人力资源和社会保障处,2020-09-21
6202,关于加强邮箱密码管理的通知,大数据和网络管理中心,2020-09-20
6203,关于开展2020级本科新生档案整理及归档工作的通知,学生工作部,2020-09-19
6204,吉林大学2020年9月份授予博士学位人员名单公示,研究生院,2020-09-19
6205,关于公示“吉林大学2020年优秀学位论文入选名单”的通知,研究生院,2020-09-19
6206,关于做好2021年推荐优秀应届退役复学本科毕业生免试攻读研究生工作的通知,学生工作部,2020-09-19
6207,吉林大学关于在2021年推荐免试硕士研究生中选聘专职辅导员的通知,学生工作部,2020-09-19
6208,关于举办新闻宣传工作培训会的通知,党委宣传部,2020-09-18
6209,关于开展2020级新生军训相关工作的通知,学生工作部,2020-09-18
6210,关于组织研究生参加2020年新生开学典礼的通知,研究生院,2020-09-18
6211,关于2021年“国防科工招生单位”补偿计划接收我校推免生工作的通知,教务处,2020-09-18
6212,关于选拔2021年优秀应届本科毕业生为创新人才推免生的通知,教务处,2020-09-18
6213,吉林大学关于做好2021年推荐优秀应届本科毕业生免试攻读研究生工作的通知,教务处,2020-09-18
6214,关于做好2020～2021学年第一学期研究生教学工作安排的通知,研究生院,2020-09-18
6215,关于组织学生参加2020年新生开学典礼的通知,学生工作部,2020-09-18
6216,关于公示2019年度省管、省委教育工委管党费收支情况的通知,党委组织部,2020-09-18
6217,关于申报教育部-华为“智能基座”产教融合协同育人基地（2020年度）合作课程的通知,教务处,2020-09-18
6218,关于征求《吉林大学仪器设备效益考核管理办法（征求意见稿）》修改意见的通知,实验室与设备管理处,2020-09-18
6219,关于财务处（经费监管办公室）正科级干部拟聘人选的公示,财务处,2020-09-18
6220,吉林吉大控股有限公司面向全校公开招聘董事会秘书的通知,经营性资产改革和管理办公室,2020-09-18
6221,关于做好2021届本(专)科毕业生信息核对工作的通知,教务处,2020-09-18
6222,关于做好新学期学生学费及住宿费缴费工作的通知,财务处,2020-09-18
6223,教务处公开招聘正科级干部的通知,教务处,2020-09-18
6224,关于印发《吉林大学应征入伍服兵役国家资助实施细则》的通知,学生工作部,2020-09-18
6225,关于印发《吉林大学基层就业学费补偿国家助学贷款代偿实施细则》的通知,学生工作部,2020-09-18
6226,关于印发《吉林大学新生绿色通道申请审批办法》的通知,学生工作部,2020-09-18
6227,关于印发《吉林大学本科学生临时困难补助申请审批办法》的通知,学生工作部,2020-09-18
6228,关于印发《吉林大学本科学生经济关注对象认定工作办法》的通知,学生工作部,2020-09-18
6229,关于印发《吉林大学本科学生国家助学金评审办法》的通知,学生工作部,2020-09-18
6230,关于印发《吉林大学本科学生国家励志奖学金评审办法》的通知,学生工作部,2020-09-18
6231,关于印发《吉林大学本科学生国家奖学金评审办法》的通知,学生工作部,2020-09-18
6232,关于在全校本科学生中开展勤工助学岗位申报工作的通知,学生工作部,2020-09-18
6233,关于征集2020级学生军训教官的通知,学生工作部,2020-09-17
6234,关于2020年国庆节、中秋节放假安排的通知,校长办公室,2020-09-17
6235,吉林大学化学学院关于公开招聘实验技术人员的启事,化学学院,2020-09-17
6236,关于9月18日鸣放防空袭警报的通知,学生工作部,2020-09-17
6237,哲学基础理论研究中心拟聘正科级干部人选的公示,哲学社会学院,2020-09-17
6238,吉林大学哲学社会科学午间学术沙龙英文论坛Thinking At 42°N第4期（总第66期）： Ge...,社会科学处,2020-09-17
6239,关于全国大学外语四六级考试期间各校区教学楼封楼管理的通知,教务处,2020-09-17
6240,关于2019年度与2020春季学期吉林大学大学生创新创业训练计划结题优秀项目奖励公示,教务处,2020-09-17
6241,关于举办国家双创示范基地“校企行”专项行动大学生创新创业项目“云路演“活动的通知,创新创业教育学院,2020-09-17
6242,关于召开吉林大学白求恩医学部 “传承白求恩精神，讲述抗疫故事”2020级新生入学教育大会的通知,白求恩医学部,2020-09-17
6243,关于聘任附属医院见习期满人员李弋飞等15名同志为相应专业技术系列初级职务的通知,白求恩医学部,2020-09-17
6244,关于聘任附属医院见习期满人员周杨杨等13名同志为相应专业技术系列中级职务的通知,白求恩医学部,2020-09-17
6245,关于申报2020年度国家社科基金中华学术外译项目的通知,社会科学处,2020-09-17
6246,南岭校区停水通知,东区综合办公室,2020-09-17
6247,关于2020年全国大学生英语竞赛初赛报名工作的通知,公共外语教育学院,2020-09-17
6248,关于吉林大学第十三届教职工羽毛球团体赛赛程安排的通知,工会,2020-09-17
6249,关于调整南岭校区迎新期间校园道路交通管理的通知,东区综合办公室,2020-09-17
6250,吉林大学原子与分子物理研究所2020年公开招聘教师公示,原子与分子物理研究所,2020-09-17
6251,关于重申严肃大学英语四、六级考试（CET）纪律的通知,考试中心,2020-09-17
6252,关于举办“声动吉大”教职工首届校园歌手大赛活动的通知,工会,2020-09-17
6253,关于公示2019-2020学年优秀研究生“助教”“助管”名单的通知,研究生院,2020-09-17
6254,关于在全校教师中开展“不忘立德树人初心 牢记为党育人为国育才使命 做新时代最可爱的人” 主题征文活动的通知,党委教师工作部,2020-09-17
6255,关于公示2020-2021学年“解放领航奖学金”获奖研究生的通知,研究生院,2020-09-17
6256,转发《2020年度国家自然科学基金委员会与新西兰健康研究理事会新型冠状病毒肺炎（COVID-19）合...,科学技术处,2020-09-17
6257,关于报名参加2020第三届中国国际进口博览会的通知,实验室与设备管理处,2020-09-16
6258,关于推荐王亚卓同志为海南大学人文社科处副处长（挂职）人选的通知,党委组织部,2020-09-16
6259,关于魏晓辉等职务任免的通知,党委组织部,2020-09-16
6260,吉林大学公共外语教育学院2020年公开招聘教师启事,公共外语教育学院,2020-09-16
6261,关于迎新期间调整中心校区道路交通管理的通知,保卫处,2020-09-16
6262,关于2020级新生（本科生）入学体检时间安排的通知,校医院,2020-09-16
6263,关于组织2020级新生入学英语分级测试的通知,教务处,2020-09-16
6264,关于申报2020年度中国兵器工业第五九研究所合作基金项目的通知,先进技术研究院,2020-09-16
6265,大力弘扬科学家精神，营造风清气正的科研环境,科学技术处,2020-09-16
6266,2020年吉林大学第二届三维数字化创新设计大赛塈第13届全国三维数字化创新设计大赛（3DDS）选拔赛...,机械与航空航天工程学院,2020-09-16
6267,关于举办2020年度宝钢优秀学生奖学金（本科生）评审答辩会的通知,学生工作部,2020-09-16
6268,关于为2019级研究生提供人力资源与社会保障卡激活服务的通知,研究生院,2020-09-16
6269,吉林大学南岭校区关于做好2020级本科学生报到期间迎新工作的通知,东区综合办公室,2020-09-16
6270,关于开展青年文化书院“学‘四史’、守初心、担使命”系列讲座（二）的通知,团委,2020-09-16
6271,关于先进技术研究院因搬迁暂停办公的通知,先进技术研究院,2020-09-16
6272,关于开展吉林大学共青团 2019年度“创先争优”评比工作的通知,团委,2020-09-16
6273,预科教育学院关于公开招聘团委书记的通知,应用技术学院,2020-09-16
6274,中心校区停电停水通知,资产管理与后勤处,2020-09-16
6275,转发省科技厅《关于举办吉林省科技计划2021年度项目申报工作网络培训的通知》,科学技术处,2020-09-16
6276,关于2020年公共卫生学院拟聘教师人选的公示,白求恩医学部,2020-09-16
6277,关于推荐吉林省第九届高等学校教学名师奖、第二届教学新秀奖人选的通知,教务处,2020-09-16
6278,吉林大学2020年新生入学奖学金评定结果的公示,招生办公室,2020-09-16
6279,关于中心校区南校门暂缓开通的通知,校长办公室,2020-09-15
6280,关于举行吉林大学2020年新生开学典礼的通知,校长办公室,2020-09-15
6281,关于公示2020年度相关人才项目拟资助人选的通知,先进技术研究院,2020-09-15
6282,吉林大学开展“基础学科拔尖学生培养计划”2020级学生选拔工作的通知,教务处,2020-09-15
6283,关于组织申报2020年（第五批）长春市产业技术公共服务平台的通知,科学技术处,2020-09-15
6284,关于2020级研究生（硕博）入学体检时间安排的通知,校医院,2020-09-15
6285,关于印发《吉林大学新聘专职辅导员在机关部门交流培养试行办法》的通知,学生工作部,2020-09-15
6286,关于印发《吉林大学2020级新生入学教育工作方案》的通知,学生工作部,2020-09-15
6287,关于举办2020年第2期（总第17期）“红色园丁”学生工作主题沙龙活动的通知,学生工作部,2020-09-15
6288,关于申报国防科工局某制造领域第二批项目的通知,先进技术研究院,2020-09-15
6289,关于中心校区南校门建成开通的通知,校长办公室,2020-09-15
6290,吉林大学计算机科学与技术学院 2020年公开招聘教师启事,计算机科学与技术学院,2020-09-15
6291,关于转发工程教育认证已通过认证专业持续改进与中期审核工作时间节点的通知,教务处,2020-09-15
6292,关于召开研究生迎新暨学生返校工作会议的通知,研究生院,2020-09-15
6293,关于做好2020年研究生迎新工作相关事宜的通知,研究生院,2020-09-15
6294,关于提高我校博士研究生助学金发放标准的通知,研究生院,2020-09-15
6295,关于招募第二期“吉林大学管理干部全球胜任力提升线上工作坊”学员的通知,国际合作与交流处（港澳台办公室）,2020-09-14
6296,关于招募第三期“吉林大学管理干部全球胜任力提升线上工作坊”学员的通知,国际合作与交流处（港澳台办公室）,2020-09-14
6297,关于在教学计划中录入《大学生心理健康》慕课的通知,学生心理健康指导中心,2020-09-14
6298,关于确保我校2020级本科家庭经济困难新生顺利入学的通知,学生工作部,2020-09-14
6299,管理学院公开招聘专业教师启事,管理学院,2020-09-14
6300,关于开展部分副校级领导人员试用期考核工作的预告,党委组织部,2020-09-14
6301,建设工程学院拟聘正科级干部人选的公示,建设工程学院,2020-09-14
6302,吉林大学计算机科学与技术学院 2020年公开招聘教师启事,计算机科学与技术学院,2020-09-14
6303,关于魏宇航同志职务任免的通知,党委组织部,2020-09-14
6304,关于对国家重点研发计划“科技冬奥”重点专项2021年度项目申报指南征求意见的通知,科学技术处,2020-09-14
6305,关于管理学院2020年教师拟聘人选公示的通知,管理学院,2020-09-14
6306,关于查询大学外语四、六级考试准考证信息的通知,考试中心,2020-09-14
6307,关于发放2020级研究生“校园卡”及与校园卡相关联的中国银行借记卡的通知,大数据和网络管理中心,2020-09-14
6308,关于发放2020级本科生（预科生）“校园卡”及与校园卡相关联的中国银行借记卡的通知,大数据和网络管理中心,2020-09-14
6309,关于2020年9月全国计算机等级考试（NCRE）有关事项的通知,考试中心,2020-09-14
6310,关于使用吉林大学人力资源管理服务平台开展我校在职教职工人事信息常态化维护的通知,人力资源和社会保障处,2020-09-14
6311,关于印发《吉林大学教职工人事信息管理暂行办法》的通知,人力资源和社会保障处,2020-09-14
6312,关于公示2019年度中管党费收支情况的通知,党委组织部,2020-09-14
6313,关于公示2020-2021学年“高凯奖学金”获奖研究生的通知,研究生院,2020-09-14
6314,关于中国仪器仪表学会科学技术进步奖提名项目的公示,科学技术处,2020-09-13
6315,关于举办学校人才项目申报辅导会的通知,人才工作办公室,2020-09-13
6316,关于开展2020年国家网络安全宣传周校园日活动的通知,大数据和网络管理中心,2020-09-11
6317,关于做好2020级本科新生报到期间迎新工作的通知,学生工作部,2020-09-11
6318,关于为2019级学生办理人社卡激活服务的通知,学生工作部,2020-09-11
6319,关于做好我校2021届本专科毕业生求职创业补贴发放工作的通知,学生工作部,2020-09-11
6320,关于公示2020年度人才项目拟推荐人选及顺延补位人选的通知,人才工作办公室,2020-09-11
6321,关于开展教师中期考核工作的通知,人力资源和社会保障处,2020-09-11
6322,关于做好2020年第二期学生发展对象培训准备工作的通知,党委组织部,2020-09-11
6323,关于开展实验室（含公共支撑平台）现场评价评估工作的通知,实验室与设备管理处,2020-09-11
6324,关于开展“吉林大学2020年研究生创新研究计划”项目的通知,研究生院,2020-09-11
6325,转发国家自然科学基金委员会《“碳基能源转化利用的催化科学”重大研究计划2020年项目指南》的通知,科学技术处,2020-09-11
6326,转发国家自然科学基金委员会《“多相反应过程中的介尺度机制及调控”重大研究计划2020年度项目指南》的通知,科学技术处,2020-09-11
6327,转发国家自然科学基金委员会《“团簇构造、功能及多级演化”重大研究计划2020年度项目指南》的通知,科学技术处,2020-09-11
6328,转发国家自然科学基金委员会《“大气细颗粒物的毒理与健康效应”重大研究计划2020年度项目指南》的通知,科学技术处,2020-09-11
6329,关于开展2020年“吉林大学博士研究生交叉学科科研资助计划”项目的通知,研究生院,2020-09-11
6330,吉林大学2020年研究生新生入学报到须知,研究生院,2020-09-11
6331,关于公布2019级本科生考核转专业增补录取学生名单的通知,教务处,2020-09-11
6332,关于转发《关于开展教育部高端会计人才培养选拔的通知》的通知,财务处,2020-09-11
6333,关于举办全校辅导员消防安全培训的通知,学生工作部,2020-09-11
6334,关于开展2020年度校名、校标使用情况补充登记工作的通知,资产管理与后勤处,2020-09-11
6335,关于公布国家级人才项目校内推荐评审专家成员名单的通知,人才工作办公室,2020-09-10
6336,关于继续教育学院毕业证书用印的通知,继续教育学院,2020-09-10
6337,关于做好2019级本科生2020-2021学年第一学期大学外语课程选课工作的通知,教务处,2020-09-10
6338,关于做好2020年基层党组织和党员队伍状况统计工作的通知,党委组织部,2020-09-10
6339,关于举办吉林大学第十三届教职工羽毛球团体赛的通知,工会,2020-09-10
6340,关于召开落实全国研究生教育会议精神  研究生教育综合改革讨论会的通知,研究生院,2020-09-10
6341,吉林大学马克思主义学院2020年教师招聘启事,马克思主义学院,2020-09-10
6342,关于公示哲学社会学院2020年拟聘教师的通知,哲学社会学院,2020-09-10
6343,关于做好《吉林大学年鉴（2019版）》编纂工作的通知,校长办公室,2020-09-10
6344,关于开展《大学生心理健康》慕课助教工作培训会的通知,学生心理健康指导中心,2020-09-10
6345,关于召开“双一流”建设周期总结专家论证会的通知,发展规划处,2020-09-10
6346,关于报送2019-2020学年教学科研实验室基本情况表的通知,实验室与设备管理处,2020-09-10
6347,关于确定2020年青年骨干教师出国研修项目拟推荐人选及相关事宜的通知,人力资源和社会保障处,2020-09-10
6348,公共计算机教学与研究中心公开招聘实验技术人员拟聘人选公示,公共计算机教学与研究中心,2020-09-10
6349,关于加强研究生大学外语四、六级考试安全、诚信教育的通知,研究生院,2020-09-10
6350,关于公布2020年度本科生校级社会奖（助）学金设立情况的通知,学生工作部,2020-09-10
6351,吉林大学综合极端条件实验装置吉林分部项目综合办公室公开招聘行政管理人员拟聘人选公示,综合极端条件实验装置吉林分部项目综合办公室,2020-09-10
6352,吉林大学2020年本科新生迎新工作安排,学生工作部,2020-09-09
6353,关于申请2021年度日本冈山大学社会文化科学研究科O-NECUS交换留学项目的通知,国际合作与交流处（港澳台办公室）,2020-09-09
6354,关于转发教育部中外人文交流中心举办2020“讲好中国故事”创意传播大赛—大学生“讲好中国故事”创意传...,国际合作与交流处（港澳台办公室）,2020-09-09
